iso;umd_tree_cover_loss__year;umd_tree_cover_loss__ha;umd_tree_cover_loss_from_fires__ha
AUS;2001;218816,3021;154497,154
ESP;2001;32811,05352;7521,44567
FRA;2001;34420,96339;1602,153341
SWZ;2001;6734,853711;44,10780785
USA;2001;1943080,844;294588,3313
AUS;2002;312150,1627;235574,3467
ESP;2002;37699,01981;8023,052129
FRA;2002;33888,39717;1917,373592
SWZ;2002;3800,765838;18,21190928
USA;2002;2038249,962;525388,6808
AUS;2003;373846,6091;251901,6694
ESP;2003;23315,39344;4569,252679
FRA;2003;26393,33418;3576,5194
SWZ;2003;5760,353992;80,68513222
USA;2003;1649193,295;348791,9352
AUS;2004;124768,677;30741,14027
ESP;2004;67273,87562;19785,67179
FRA;2004;76134,34456;5940,708768
SWZ;2004;5363,851962;71,33737808
USA;2004;2746107,321;807895,7112
AUS;2005;177023,6081;83971,09972
ESP;2005;48955,00105;18483,96523
FRA;2005;46390,59105;1977,7202
SWZ;2005;4535,096301;62,30201719
USA;2005;2691182,312;835985,3165
AUS;2006;186303,9394;86711,35363
ESP;2006;72719,07732;23091,34279
FRA;2006;55049,47436;1222,918781
SWZ;2006;9431,399995;60,01121117
USA;2006;2605664,476;790926,6919
AUS;2007;372716,7841;232267,242
ESP;2007;60256,31685;7004,147353
FRA;2007;49246,17317;1193,650199
SWZ;2007;6469,371087;56,60750609
USA;2007;2435022,678;537421,7365
AUS;2008;205724,854;105540,5962
ESP;2008;44287,97422;4640,503172
FRA;2008;86955,39993;1354,842189
SWZ;2008;4582,258952;38,52172469
USA;2008;2213411,888;410451,9024
AUS;2009;203711,0919;91428,96842
ESP;2009;67544,77998;12960,9127
FRA;2009;67053,59918;1382,878727
SWZ;2009;10654,20484;792,423702
USA;2009;1608882,637;219312,2907
AUS;2010;290725,4987;206123,66
ESP;2010;56093,42215;8294,351384
FRA;2010;143265,2096;3041,590746
SWZ;2010;6660,339483;98,73756784
USA;2010;2167639,243;559557,5153
AUS;2011;121315,7073;33921,11006
ESP;2011;39325,56851;4583,690964
FRA;2011;64074,31686;1127,449088
SWZ;2011;2621,924535;42,92083874
USA;2011;1663578,831;204434,542
AUS;2012;139802,7577;52661,33733
ESP;2012;80495,82971;38530,89023
FRA;2012;67302,61843;2592,017526
SWZ;2012;3527,100068;82,55964156
USA;2012;1963951,037;290843,2657
AUS;2013;260094,1396;177481,2139
ESP;2013;63955,87066;11429,13341
FRA;2013;30351,83693;329,2878852
SWZ;2013;3126,108744;64,55199123
USA;2013;1736286,952;372934,2972
AUS;2014;281737,5241;181834,6184
ESP;2014;74226,43456;9072,587113
FRA;2014;44359,06366;695,6611083
SWZ;2014;4960,468941;120,7426077
USA;2014;1736423,72;238683,0335
AUS;2015;261575,0042;173113,9682
ESP;2015;65413,8692;11460,03877
FRA;2015;37292,53033;436,2480508
SWZ;2015;3215,781354;41,57152225
USA;2015;2289454,16;921708,8524
AUS;2016;430902,9031;282037,2795
ESP;2016;107562,3649;20707,00578
FRA;2016;60768,46951;1980,034439
SWZ;2016;4801,902607;49,05008885
USA;2016;2263608,047;590784,0231
AUS;2017;236876,4576;114605,4408
ESP;2017;98458,97696;35878,79542
FRA;2017;69249,04325;5856,670052
SWZ;2017;6376,503672;373,7959893
USA;2017;2311015,709;507491,7927
AUS;2018;250750,6987;151099,1159
ESP;2018;119649,0023;19182,4351
FRA;2018;69201,43579;2657,349593
SWZ;2018;1919,918787;23,7198198
USA;2018;2092115,608;536923,856
AUS;2019;1661547,603;1526819,098
ESP;2019;71021,86483;7617,119273
FRA;2019;81304,16864;3297,768365
SWZ;2019;4116,906026;363,4584021
USA;2019;2109540,827;629301,1441
AUS;2020;2356516,288;1957826,814
ESP;2020;101988,1181;11150,84324
FRA;2020;77745,73714;2518,470592
SWZ;2020;2684,091136;27,26930581
USA;2020;1966251,342;662817,389
AUS;2021;261043,5535;132480,9961
ESP;2021;85791,95758;16094,52825
FRA;2021;112886,0348;3507,696494
SWZ;2021;3160,017833;64,02724195
USA;2021;2043919,938;845693,9824
